topic,keyword,short_text
Sciences,,"Lecture for the course ""CSC 59970 – Intro to Data Science"" delivered at the City College of New York in Spring 2019 by Grant Long as part of the Tech-in-Residence Corps program."
Sciences,,"Lecture for the course ""CSC 59970 – Intro to Data Science"" delivered at the City College of New York in Spring 2019 by Grant Long as part of the Tech-in-Residence Corps program."
Sciences,,"Lecture for the course ""CS 217 – Probability and Statistics for Computer Science"" delivered at the City College of New York in Spring 2019 by Evan Agovino as part of the Tech-in-Residence Corps program."
Sciences,,"A two-day seminar will be hosted by the instructor. The first day will be an introductory lecture describing the background of soil science and the second day will be a hands-on activity where students will analyze the texture and chemistry of soil samples from home and compare that data to the texture and chemistry of a degraded soil sample from an agricultural area. The guiding questions for this activity are “Why does soil health matter?” and “How does the health of a soil impact its diversity, soil texture, and chemical makeup?”."
Sciences,,"Students will see a video that will grab their attention within weather and it's effects. After that, they will use what they learned in class from the lecture."
Sciences,,This resource contains one lab activity plan and two lecture notes on three different agronomy related topics.
Sciences,,"CHE106 - Chemical Science Concepts An introductory elective course for non-science majors.  The concepts of general chemistry, organic chemistry and biochemistry are presented through a forensic science approach.Mercer County Community CollegeDr. Lisa Meseroll, PhD"
Sciences,,"The Spotlighters Toolkit includes a wide array of innovative materials about the science of stress and self-regulation, including slides, teacher notes, and printouts. The Toolkit allows teachers and educators to both teach about stress and implement techniques to manage it. Two versions of the Toolkit are available. One for secondary school students and the other for primary school students.The version for secondary level is extensive and consists of seven units:1. Course overview2. Our survival system3. Stress sensations​4. Stress, moods, and performance5. Stress mindsets6. Balance7. Lifestyles and stressThe first unit is an introductory unit for you with an overview of the material. Unit 2-7 all have files that you can use for teaching (slides, teacher notes, and printouts).​The more concise version for use in primary level consists of five units:1. Course overview2. Our survival system3. Stress sensations​4. Breathing5. Lifestyles and stress​The Toolkit is part of a bigger set of resources produced in the Spotlighters project, also consisting of an online application for teaching students about emotion regulation (ClassMood App), a collection of videos (https://bit.ly/youtube_spotlighters) that can be used in the classroom, and a free Spotlighters online course on The Science of Stress & Self-Regulation (https://tidex.upf.edu). The Toolkit is structured in the same way as the online course and we recommend teachers to complete the online course before using the Toolkit as this will give you a quick overview of the material and how it is connected."
Sciences,,"Standard 7.P.2: The student will demonstrate an understanding of the structure and properties of matter and that matter is conserved as it undergoes changes.  7.P.2A. Conceptual Understanding: All substances are composed of one or more elements. Elements are pure substances which contain only one kind of atom. The periodic table organizes these elements based on similar properties. Compounds are substances composed of two or more elements. Chemical formulas can be used to describe compounds.  Performance Indicator: Students who demonstrate this understanding can:  7.P.2A.1 Develop and use simple atomic models to illustrate the components of elements (including the relative position and charge of protons, neutrons, and electrons). Big Question(s): What is everything made of?"
Sciences,,"This concept-building activity contains a set of sequenced simulations for investigating how atoms can be excited to give off radiation (photons). Students explore 3-dimensional models to learn about the nature of photons as ""wave packets"" of light, how photons are emitted, and the connection between an atom's electron configuration and how it absorbs light. Registered users are able to use free data capture tools to take snapshots, drag thumbnails, and submit responses. This item is part of the Concord Consortium, a nonprofit research and development organization dedicated to transforming education through technology."
Sciences,,"This is an online set of information about astronomical alignments of ancient structures and buildings. Learners will read background information about the alignments to the Sun in such structures as the Great Pyramid, Chichen Itza, and others. Next, the site contains 10 short problem sets that involve a variety of math skills, including determining the scale of a photo, measuring and drawing angles, plotting data on a graph, and creating an equation to match a set of data. Each set of problems is contained on one page and all of the sets utilize real-world problems relating to astronomical alignments of ancient structures. Each problem set is flexible and can be used on its own, together with other sets, or together with related lessons and materials selected by the educator. This was originally included as a folder insert for the 2010 Sun-Earth Day."
Sciences,,"This lesson presents an overview of the major food commodity groups, different operations, and careers within the food industry."
Sciences,,"In the activities included below, students will closely examine images related to the Human Rights theme. Students will make connections to informational and literary texts that expand their understanding of global issues and their rights as citizens of the world. The activities included ask students to reference specific literary and informational texts, however, all activities may be adapted to fit with a number of different texts that touch on the same topics and issues."
Sciences,,"This 90-minute activity features six interactive molecular models to explore the relationships among voltage, current, and resistance. Students start at the atomic level to explore how voltage and resistance affect the flow of electrons. Next, they use a model to investigate how temperature can affect conductivity and resistivity. Finally, they explore how electricity can be converted to other forms of energy. The activity was developed for introductory physics courses, but the first half could be appropriate for physical science and Physics First. The formula for Ohm's Law is introduced, but calculations are not required. This item is part of the Concord Consortium, a nonprofit research and development organization dedicated to transforming education through technology. The Concord Consortium develops deeply digital learning innovations for science, mathematics, and engineering."
Sciences,,This is a lesson that can be used to teach beginning Introduction to Agriculture students about the types of drugs we administer to animals. Students then get to complete a hands-on lab activity where they learn about and demonstrate four types of injections.
Sciences,,"Semiconductors are the materials that make modern electronics work. Learn about the basic properties of intrinsic and extrinsic or 'doped' semiconductors with several visualizations. Turn a silicon crystal into an insulator or a conductor, create a depletion region between semiconductors, and explore probability waves of an electron in this interactive activity."
Sciences,,A one page assignment that uses online tutorials to give students a first exposure to the components of a cell and membrane.
Sciences,,This Excel spreadsheet assignment brings students step-by-step through the process of solving and analyzing a Keynesian cross model.  It is most appropriate for principles-level macroeconomics courses.
Sciences,,"A bungee jump involves jumping from a tall structure while connected to a large elastic cord. Design a bungee jump that is ""safe"" for a hard-boiled egg. Create a safety egg harness and connect it to a rubber band, which is your the ""bungee cord."" Finally, attach your bungee cord to a force sensor to measures the forces that push or pull your egg."
Sciences,,"A zip line is a way to glide from one point to another while hanging from a cable. Design and create a zip line that is safe for a hard-boiled egg. After designing a safety egg harness, connect the harness to fishing line or wire connected between two chairs of different heights using a paper clip. Learn to improve your zip line based on data. Attach a motion sensor at the bottom of your zip line and display a graph to show how smooth a ride your egg had!"
Sciences,,"Featuring images of glacier formations, this interactive resource adapted from the National Park Service explains what glaciers are, where they are found, how they form, and how they move."
Sciences,,"Problem: How do you measure an angle with a protector, when that angle is between two solid walls? This resource is from PUMAS - Practical Uses of Math and Science - a collection of brief examples created by scientists and engineers showing how math and science topics taught in K-12 classes have real world applications."
Sciences,,"D3: DYNAMIC DETROIT DATA@ BUNCHE ACADEMY IS A RESOURCE FOR STUDENTS, PARENTS AND TEACHERS TO USE TO FIND CURRICULUM RELATED WEBSITES.  THIS IS A USEFUL ONE STOP LOCATION TO START YOUR SEARCH TO RELATED AGE APPROPRIATE CONTENT MATERIAL FOR STUDENT WORK."
Sciences,,"This math example explains what celestial objects a person can see with the unaided eye from the vantage points of Earth and Mars, using simple math, algebra and astronomical distance information. This resource is from PUMAS - Practical Uses of Math and Science - a collection of brief examples created by scientists and engineers showing how math and science topics taught in K-12 classes have real world applications."
Sciences,,"The Student Handouts for these minds-on activities challenge students to actively develop their understanding of biological concepts and apply these concepts to the interpretation of scientific evidence and real-world situations. The Teacher Notes provide learning goals, instructional suggestions, relevant scientific background, and suggestions for preparatory and follow-up activities. Many of these activities are explicitly aligned with the Next Generation Science Standards."
Sciences,,What do plants eat? This unit explores plants and how they make food.
Sciences,,"This is a collection of mathematical problems about transits in the solar system. Learners can work problems created to be authentic glimpses of modern science and engineering issues, often involving actual research data."
Sciences,,"This video describes in detail the greenhouse effect and how recovery from energy from fossile fuels results in green house gases. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"This video explores the meaning of sustainable development from a biomimicry view. It is largely based on the work of CS Holling and associates. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"This video considers a model of human impact proposed by Ehrlich and Holdren called the ""IPAT"" equation. It reveals its underlying assumptions and the additional opportunities for reducing impact. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"This math problem demonstrates the concept of geometric progression, through an example of a million dollar contract between an employee and an employer. Application of the concept of geometric progression to social cause activism is addressed. This resource is from PUMAS - Practical Uses of Math and Science - a collection of brief examples created by scientists and engineers showing how math and science topics taught in K-12 classes have real world applications."
Sciences,,It is common in the real world to see mathematical examples where the cents sign was used when the dollar sign was supposed to be used. Converting and comparing decimals and fractions can help clear up this misconception. Two real coupons clipped from a Sunday paper coupon section are included in this activity. This resource is from PUMAS - Practical Uses of Math and Science - a collection of brief examples created by scientists and engineers showing how math and science topics taught in K-12 classes have real world applications.
Sciences,,"This article describes an approach designed to decrease math anxiety and teach students about the use of mathematical symbols simplifying radicals. A deck of cards is used in a demonstration, and a problem set using real life examples to master the use of radicals is included. This resource is from PUMAS - Practical Uses of Math and Science - a collection of brief examples created by scientists and engineers showing how math and science topics taught in K-12 classes have real world applications."
Sciences,,"In this demonstration, the teacher will use a potato and hydrogen peroxide to generate oxygen in a closed environment. Students can then observe its effects on a burning wooden splint and on burning steel wool. They will understand that a large amount of energy can be released by the process of oxidation. As an extension, the teacher can discuss how the appearance of oxygen (produced by cyanobacteria) in Earth's early atmosphere initially resulted in the formation of large deposits of iron oxide (Banded Iron Formations) and then aided in the evolution of more complex life forms."
Sciences,,"This is a booklet containing 96 mathematics problems involving skills relating to algebra, fractions, graph analysis, geometry, measurement, scale, calculus, and other topics. Learners will use mathematics to explore NASA science and space exploration content relating to space weather, the study of the Sun and its interactions with Earth. Each problem or problem set is introduced with a brief paragraph about the underlying science, written in a simplified, non-technical jargon where possible. Problems are often presented as a multi-step or multi-part activities, and there are problem sets for learners in grades 3-5, 6-8 and 9-12. This booklet can be found on the Space Math@NASA website."
Sciences,,"This example shows how Newton's laws of motion apply to aircraft carriers and introduces the lift equation: the amount of lift depends on the air density, the wind velocity, and the surface area of the wings. The problems stress the importance of units of measure. This resource is from PUMAS - Practical Uses of Math and Science - a collection of brief examples created by scientists and engineers showing how math and science topics taught in K-12 classes have real world applications."
Sciences,,"Using the simple example of calculating the probability of reaching a traffic light while green, students are shown how to build a mathematical model using a very commonly-taught formula (sum of first n integers) to solve a rather practical problem. This resource is from PUMAS - Practical Uses of Math and Science - a collection of brief examples created by scientists and engineers showing how math and science topics taught in K-12 classes have real world applications."
Sciences,,"What can we learn from nature's designs for sustainability? This video compares nature's methods with the industrial era methods of design. It recommends a design strategy based on the connection or relationship between things as a means to achieve transformative innovation for sustainability. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"This video takes an in-depth look at the annual energy available on earth against the amount of energy used by humans. It uses a graphic, published by Wes Hermann in the journal Energy, to makes clear the different energy fluxes. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"What happens when an excited atom emits a photon? What can we deduce about that atom based on the photons it can emit? A series of interactive models allows you to examine how the energy levels the electrons of an atom occupy affect the types of photons that can be emitted. Use a digital spectrometer to record which wavelengths certain atoms will emit, and then use this knowledge to compare and identify types of atoms. Students will be abe to:"
Sciences,,"Students preparing for the ACT, GED or other college prep equivalency exams or college entrance need to know the basics of science. Geology is one area that is included on most of these types of exams.  The study of continental drift forces involved and effect of the movement combine several science disciplines that will help students on those exams. In this unit, learners will illustrate, describe and demonstrate a basic knowledge of plate tectonics and the effect of shifts on seismic activity. This unit follows the WIPPEA model for lesson planning, and implements open-classroom strategies, where students will not only use OER but also modify and republish their content."
Sciences,,"This video examines the global perspective of materials. It looks that the difference between reserves and resources and considers the question of ""running out"" of materials.This video part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"This video goes through the carbon cycle and describes how using fossil fuels threatens the foundation of the aquatic global food chain. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"This video explores the meaning of sustainable development from a biomimicry view. It is largely based on the work of CS Holling and associates. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"This lesson series is for the Openscapes Champions program, an open data science mentorship program for science teams.Openscapes Champions is a professional development and leadership opportunity for teams to reimagine data analysis & stewardship as a collaborative effort, develop modern skills that are of immediate value to them, and cultivate collaborative and inclusive research communities. Cohorts are ~7 research teams (~35 total participants including team leads and members) that convene remotely to explore open data science tooling and practices together. This is a remote-by-design program since its launch in 2019.The Series is written (and always improving) to be used as a reference, to teach, or as self-paced learning.Openscapes is co-directed by Julia Stewart Lowndes and Erin Robinson. It is operated by the National Center for Ecological Analysis & Synthesis (NCEAS) and was incubated by a Mozilla Fellowship awarded to Lowndes in 2018."
Sciences,,"Introduction to the concept of a dynamic system. Includes discussion of system and surroundings and system boundaries. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives, Assessment, and Activities."
Sciences,,"This video describes the ecological footprint and its limitation. It goes into some depth on the computation on the footprint and what it means for the global population. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"This video defines energy, reviews a model of different types of energy and presents the four known stable global energy resources. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"In this activity, students learn about the advantages of the metric system, by comparing the ease of calculation and conversion between the English and metric systems of measurement. This resource is from PUMAS - Practical Uses of Math and Science - a collection of brief examples created by scientists and engineers showing how math and science topics taught in K-12 classes have real world applications."
Sciences,,"As science extension activities, this book of problems introduces students to mapping the shape of the Milky Way galaxy, and how to identify the various kinds of galaxies in our universe. Students also learn about the shapes and sizes of other galaxies in our universe as they learn how to classify them. The math problems cover basic scientific notation skills and how they apply to working with astronomically large numbers. It also provides exercises in plotting points on a Cartesian plane to map the various features of our Milky Way."
Sciences,,"This video explains thermodynamic systems, open and closed systems, and the four key properties of a system. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives, Assessment, and Activities."
Sciences,,"This video looks at the global population and trends. It also explains the concept of carrying capacity and how a person's behavior influences carrying capacity. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"The GeoTech Center, a National Science Foundation grant to support geospatial programs at two-year colleges, developed Model Courses focused on building the skills, competencies, and abilities needed for entry-level occupations in the geospatial industry. Competencies covered in the Model Courses were identified using the Geospatial Technology Competency Model (GTCM) and outcomes from multiple DACUM (“Developing a Curriculum”) events. A panel of geospatial education experts parsed the competencies into the Model Courses for the Certificate and are listed in a Program Content Tool that can be used to see what competencies and depth should be in each course. You can also assess your program from the GTCM Program Assessment Tool tool. All material is distributed freely under a Creative Commons license and can be used with attribution to GeoTech."
Sciences,,"This video is an introduction to the global issue of water. It examines questions like ""How can there be a water shortage when we are surrounded by water?"". This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"This video looks at how water use and energy use are connected when industrial era technologies are used as the primary means of supplying process energy. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"This math problem determines the areas of simple and complex planar figures using measurement of mass and proportional constructs. Materials are inexpensive or easily found (poster board, scissors, ruler, sharp pencil, right angle), but also requires use of an analytical balance (suggestions are provided for working with less precise weighing tools). This resource is from PUMAS - Practical Uses of Math and Science - a collection of brief examples created by scientists and engineers showing how math and science topics taught in K-12 classes have real world applications."
Sciences,,"This video examines the use of life cycle assessment methods as an aid to the design process. It introduces three methods: full life cycle assessment, streamlined life cycle assessment, and economic input-output life cycle assessment. The advantages and limits of each stated. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Sciences,,"This video, based on ideas of Donella Meadows (Thinking in Systems: A Primer | 2008, Chelsea Green Publishing), describes different types of interventions that are possible in a system and their potential leverage. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives, Assessment, and Activities."
Sciences,,"This video explains Aristotle's model of causality and how it can be used to gain insight into systemic behavior. Many of the ideas presented in this video have been contributed by Roger Burton. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives, Assessment, and Activities."
Sciences,,"In this two year study funded by the California Energy Commission and S.D. Bechtel, a committee of individuals from major energy research institutions in California develops strategies to meet Executive Order S-3-05. Executive Order S-3-05 requires California to reduce greenhouse gas (GHG) emissions to 80% of 1990 levels by 2050. To accomplish this, CO2 levels will need to drop from 13 tons CO2e per capita (2005) to 1.6 tons CO2e per capita (2050) while the population continues to grow and energy use is expected to double. To offer a solution to this challenge, multiple ""energy system portraits"" are developed with combinations of nuclear, biomass, electricity, and fossil fuels with carbon capturing systems. It's concluded by applying key aggressive strategies and investing in multiple technologies, implementations, research, development, and innovation, California can meet executive order S-3-05."
Sciences,,"This video distinguishes between renewable and non-renewable energy resources. It examines the question, ""How long to do we have before we exhaust non-renewable resources?"" It also looks at alternatives to non-renewable energy resources. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Humanities,,"This is the collaborative group library of the DARIAH-DE project. It contains several collections of bibliographic items relevant to specific aspects of the Digital Humanities. Please feel free to contact us with any questions, comments or suggestions!Items in the collection are tagged using a closed vocabulary of activities (what research activity is being treated) and objects (to what research objects is it being applied), following the TaDiRAH taxonomy."
Humanities,,"Philosophy and the Science of Human Nature pairs central texts from Western philosophical tradition (including works by Plato, Aristotle, Epictetus, Hobbes, Kant, Mill, Rawls, and Nozick) with recent findings in cognitive science and related fields. The course is structured around three intertwined sets of topics: Happiness and Flourishing; Morality and Justice; and Political Legitimacy and Social Structures."
Humanities,,"""The Human Controller"" presents and discusses design and evaluation issues of human-machine interaction. The focus is on understanding human perception-action couplings (limitations, preferences, adaptation) and on quantifying control behavior of humans in the direct manual control loop of vehicles, robots or other man-made tools. Case studies from automotive, aviation, medical and tele-operation applications are discussed, with a special focus on the importance of including and enhancing haptics (=the sense of touch) during manual control."
Humanities,,This lecture notes focuses on the followings:1. Manpower Forecsting2.. Developing a Manpower Plan 3. Strategic Manpower Forecasting Learning
Humanities,,"Human Capital Theory is a framework that examines the relationships between education, economic growth, and social well-being. It is an extension of the capital concept and posits that expenditures on education, job training, and health are capital investments that will yield economic and social returns at the individual and societal levels."
Humanities,,"Stanford University professor Robert Sapolsky presents the course Human Behavioral Biology. He begins by explaining the premise of the course and how he aims to avoid categorical thinking. (March 29, 2010)Human behavioral biology examines traits such as human sexual behavior, emotions memory, perception, and language from a biological perspective. It seeks to identify how human behavior is influenced by brain, sensory, hormone, fetal development and other biological influences."
Humanities,,"In the activities included below, students will closely examine images related to the Human Rights theme. Students will make connections to informational and literary texts that expand their understanding of global issues and their rights as citizens of the world. The activities included ask students to reference specific literary and informational texts, however, all activities may be adapted to fit with a number of different texts that touch on the same topics and issues."
Humanities,,This set of lecture slides was created under a Round Four ALG Textbook Transformation Grant with an accompanying question library for tests and quizzes. The course uses the free and open Human Development sections of Boundless Psychology. Topics covered include:Nature vs. NurturePiagetAttachmentFreudEriksonKohlbergChildhood DevelopmentAdolescent DevelopmentAdulthood DevelopmentLate Adulthood
Humanities,,"Human resources is the set of the people who make up the workforce of an organization, business sector, industry, or economy. A narrower concept is human capital, the knowledge which the individuals embody. Similar terms include manpower, labour, personnel, associates or simply people."
Humanities,,"This course addresses essential learning outcomes in normal growth, development and nutrition across the lifespan, inclusive of aging. Its focus is on normal function rather than disease.Includes lectures, handouts, schedules, and student notes."
Humanities,,"An organization can't exist without great Human Resources. The important aspect of the Human Resources Management (HRM) group incorporates selecting individuals, preparing them, appraisal examinations, rousing representatives just as working environment correspondence, working environment well-being, and significantly more. The gainful impacts of these capacities are talked about here:"
Humanities,,"This lesson provides some background on Plato's text, Phaedrus, situating it within the history of rhetoric and communication and the arguments between Plato/Socrates and the Sophists. It includes links to several versions of Phaedrus (including free audio versions) and features a rap battle assignment."
Humanities,,"This video considers a model of human impact proposed by Ehrlich and Holdren called the ""IPAT"" equation. It reveals its underlying assumptions and the additional opportunities for reducing impact. This video is part of the Sustainability Learning Suites, made possible in part by a grant from the National Science Foundation. See 'Learn more about this resource' for Learning Objectives and Activities."
Humanities,,"Lecture notes, internet links and vocabulary lists for a core curriculum Introduction to Theatre college level course."
Humanities,,"""I never knew a whole family to live together, till all were grown up, in my life,"" recalls Lewis Clarke of his twenty-five years enslaved in Kentucky.1 Families were separated due to sale, escape, early death from poor health, suicide, and murder by a slaveholder, overseer, slave patroller, or other dominant person. Separation also occurred within the plantation itself, e.g., by segregating ""field slaves"" from ""house servants,"" removing children from parents to live together with a slave caretaker, or bringing children fathered by the slaveholder to live in the ""Big House."" How, then, did the slave family provide solace and identity? ""What the family does, and what the family did for African Americans,"" writes historian Deborah White Gray, ""was create a world outside of the world of work. It allowed for significant others. It allowed a male slave to be more than just a brute beast. It allowed him to be a father, to be a son. It allowed women to be mothers and to take on roles that were outside of that of a slave, of a servant.""2 When did the enslaved child realize how his or her family life differed from the slave-holder's? How did enslaved adults cope with the forced disintegration of their families? Here we read a collection of texts—two letters, a memoir, and interview excerpts—to consider these questions. (See also Theme II: ENSLAVEMENT, #2, Sale.)"
Humanities,,"Legalized slavery has been abolished around the world, yet human trafficking remains a significant problem. Though slavery may not take the exact forms it did in the nineteenth century, approximately 45.8 million persons in 167 countries endure modern forms of slavery. Fellow Laura Murphy, Associate Professor of English and Director of the Modern Slavery Research Project at Loyola University New Orleans, is currently at work on a book about the way survivors of forced labor have mobilized the discourse of slavery in the twenty-first century to reinvigorate their struggles for freedom.In this podcast, Murphy discusses the generic conventions of the slave narrative and how they complicate our notions of what it means to be free. For instance, in what she terms the “not-yet-freedom narrative,” survivors of slavery find their lives still circumscribed by systemic injustices, even after emancipation. By approaching the topic of slavery through the lens provided by literary analysis, Murphy argues it is possible to discover new insights into the conventions surrounding modern enslavement and more fully understand the experiences of those caught up in them."
Humanities,,"In this lesson students will analyze a private letter that President Thomas Jefferson (1743–1826) sent to Robert Livingston (1746–1813), his minister plenipotentiary (ambassador) to France, regarding the negotiations for what would become the Louisiana Purchase. Livingston and James Monroe (1758–1831, 6th president of the US) negotiated the Louisiana Purchase Treaty. It is important to note that at the time this letter was written — April 18, 1802 — the area had not yet been offered for sale.In this letter Jefferson, unaware of the possibility of outright purchase, focuses upon retaining commercial access to the Mississippi River and rights of deposit (economic access) in New Orleans. He also comments upon the danger of an aggressive France locating outposts just across the Mississippi River from the United States. While some historians characterize Jefferson as a Francophile, in this letter Jefferson sees France as a potential enemy to the United States.This lesson allows students to contextualize what will become the Louisiana Purchase prior to its acquisition by viewing the Purchase through a lens of national economic and military defense rather than an act of territorial expansion. As Jefferson considers the possibility of an aggressive France led by Napoleon Bonaparte on America’s doorstep, he states, “…perhaps nothing since the revolutionary war has produced more uneasy sensations through the body of the nation.” Original spellings and punctuation are retained.This lesson is divided into two parts, both accessible below. The text is accompanied by close reading questions, student interactives, and an optional follow-up assignment. The teacher’s guide includes a background note, the text analysis with responses to the close reading questions, access to the interactive exercises, and the follow-up assignment. The student’s version, an interactive PDF, contains all of the above except the responses to the close reading questions and the follow-up assignment."
Humanities,,"this is a quick exercise in reinforcement and assessment.i will have my leisurely, loose and motivated assignments frequented by continuing course activities ongoing increative measures for anyone here through the linkfor my google classroom Creative technicians.thanks i hope the list met you well."
Humanities,,"A summary and interpretation of ""This is Water"", a commencement speech given by David Foster Wallace. He shares his vital perspective on empathy and it has made a huge impact in my life."
Humanities,,"This course presents a design philosophy and a design approach, dedicated to rehabilitation technology. This field was selected because of human-machine interaction is inherent and vital. Illustrative examples will be discussed by their entire design process"
Humanities,,"Het vak Redeneren en Logica gaat over redeneringen en hun geldigheid. Een redenering bestaat uit een aantal premissen, en een conclusie. Een redenering is geldig wanneer de conclusie altijd waar is wanneer de premissen dat zijn. Het kan, wanneer een redenering geldig is, dus niet voorkomen dat de premissen waar zijn, en de conclusie onwaar. Zo'n situatie heet een tegenvoorbeeld, en dat toont aan dat een redenering ongeldig is. Wanneer een redenering geldig is, heet hij een stelling (""theorem"" in het engels), en kan men de conclusie afleiden uit de aannanme dat de premissen waar zijn. Zo'n afleiding heet een bewijs."
Humanities,,"Students will learn about the process of making pre-Columbian ceramics and the history surrounding the collection that this lesson plan is based on. Students will also create their ceramics which will bridge the gap between basic understanding while incorporating a hands-on activity. The purpose of this lesson is to teach the students about a different culture that they would have otherwise not been exposed to at a young age. By examining pre-Columbian ceramics and creating their own ceramics, students will develop skills on how to appreciate and better understand the traditions of cultures besides their own while learning about fields of study that may be of interest to them in the future."
Humanities,,"This resource provides lecture notes and writing assignments for the study of a novel - in this case, Aldous Huxley's Brave New World. These notes and assignments, however, can be adapted and applied to practically any novel. Unless otherwise noted, this resource is licensed under CC BY-NC-SA."
Humanities,,"Elementary Ergonomics is an introduction to basic physical ergonomics theory and practice for students of other - than Industrial Design Engineering of Delft University of Technology - institutes for higher learning, such as Dutch universities, universities of EU and non-EU countries, and universities of applied sciences. The course consists of the following topics: anthropometry (1D, 2D, 3D including digital human modelling), biomechanics, and comfort.Furthermore, the role of user involvement in the design process (evaluation of existing products and environments and of created concepts, models and prototypes) will be explained. Moreover, the meaning and representation of use cues in product design will be highlighted."
Humanities,,"The course Intelligent User eXperience Engineering (IUXE) is given for the master programme 'Media and Knowledge Engineering' and for students from other master programmes. The aim is to achieve an understanding and practical experience of key principles, methods and theories in the area of intelligent user experience engineering. Study Goals: Knowledge of a basic, coherent approach for developing software systems in such a way that the systems' users can accomplish their goals effectively and efficiently, and with a high level of satisfaction. Knowledge of new theories and methods for improving the user experiences in the development of intelligent systems, and of research approaches to enhance the theoretical and empirical foundation of IUXE methods. Practical experience in an iterative human-centered development process, i.e. the application of theories and methods for the generation and testing of intelligent user interfaces. This process comprises the generation of a design with its rational, and user experience testing with video analysis, logging and data analyses tools."
Humanities,,"This is an entry-level course focused on the history, culture and language of Latinos in the United States. Its purpose is to provide students with basic skills to understand the diverse array of the Latino cultures, and their contribution to the American humanities throughout time. The course provides opportunities to interact with a key ethnic minority in the United States."
Humanities,,"Einführung in Python für Nicht-Informatiker(entstanden im Rahmen eines BA Digital Humanities Studiengangs)Dieses Projekt umfasst Ipython notebooks, die Lehrmaterialienfür den Unterricht von Python enthalten. Dieser Einsteigerkursin Python richtet sich in erster Linie an Geisteswissenschaftler,setzt also keine Informatik-Kenntnisse voraus.Die Notebooks bieten eine Slideshow mit dem Vorteil, dass der Codesicher korrekt ist. Zur Zeit geht es nicht darum, dass die Notebooksvon den Lernenden verwendet werden."
Humanities,,"In ""The American Novel Since 1945"" students will study a wide range of works from 1945 to the present. The course traces the formal and thematic developments of the novel in this period, focusing on the relationship between writers and readers, the conditions of publishing, innovations in the novel's form, fiction's engagement with history, and the changing place of literature in American culture. The reading list includes works by Richard Wright, Flannery O'Connor, Vladimir Nabokov, Jack Kerouac, J. D. Salinger, Thomas Pynchon, John Barth, Maxine Hong Kingston, Toni Morrison, Marilynne Robinson, Cormac McCarthy, Philip Roth and Edward P. Jones. The course concludes with a contemporary novel chosen by the students in the class."
